YDR404C YOR224C
YDR335W YGL100W
YER105C YJL061W
YDR322W YMR193W
YBR191W YPL198W
YGL147C YLR344W
YGR275W YHL025W
YBR191W YPL220W
YEL055C YMR093W
YGL147C YOR312C
YFR002W YGL172W
YBR152W YKL173W
YGL031C YOL120C
YDR012W YGR148C
YDL081C YKL180W
YBL093C YMR005W
YBL006C YHL025W
YBL026W YFL017W-A
YML103C YNL189W
YML049C YPR182W
YHR041C YPR168W
YOL039W YPR102C
YDR225W YEL032W
YDR012W YPL131W
YLR038C YLR395C
YCR046C YKL167C
YDR079C-A YDR311W
YBR009C YDR225W
YBL026W YHR165C
YBR084C-A YGR085C
YDL150W YJL140W
YLR071C YML098W
YDR427W YOR362C
YDR156W YIL021W
YFL009W YOR080W
YFL039C YGR002C
YBR251W YGR084C
YGR013W YKL074C
YKL006W YLR075W
YBL002W YGR116W
YDL005C YDL140C
YGR091W YMR240C
YBL093C YHR058C
YGL155W YKL019W
YLL036C YLR117C
YGL092W YMR153W
YGR188C YJR089W
YFL037W YMR198W
YHR165C YLR147C
YHL001W YJL177W
YML024W YMR116C
YBR081C YML098W
